Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_VNS,AvgResult_VNS,StdResult_VNS,AvgTime_VNS,SuccessRuns_VNS,FailedRuns_VNS,FirstError_VNS
Inst_m15_n120_pi0.2_TF0.6_R0.4_6.txt,15,120,120×15,21600.0000,21.6000,10,214.7200,218.6240,3.5213,21.6003,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_7.txt,15,120,120×15,21600.0000,21.6000,10,163.6700,167.2880,2.5734,21.6003,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_8.txt,15,120,120×15,21600.0000,21.6000,10,152.5000,155.5740,1.7480,21.6003,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.4_9.txt,15,120,120×15,21600.0000,21.6000,10,196.4600,197.6230,0.7715,21.6003,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_1.txt,15,120,120×15,21600.0000,21.6000,10,126.4200,128.1400,1.6278,21.6003,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_10.txt,15,120,120×15,21600.0000,21.6000,10,145.7500,147.3770,1.4550,21.6002,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_2.txt,15,120,120×15,21600.0000,21.6000,10,175.2100,178.5760,1.6554,21.6002,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_3.txt,15,120,120×15,21600.0000,21.6000,10,220.3900,224.3550,2.1543,21.6002,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_4.txt,15,120,120×15,21600.0000,21.6000,10,157.9400,160.0040,2.1403,21.6003,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_5.txt,15,120,120×15,21600.0000,21.6000,10,188.5900,190.7380,1.9753,21.6002,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_6.txt,15,120,120×15,21600.0000,21.6000,10,149.7000,153.2600,2.6067,21.6003,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_7.txt,15,120,120×15,21600.0000,21.6000,10,167.8700,170.3880,1.8757,21.6002,10,0,
Inst_m15_n120_pi0.2_TF0.6_R0.6_8.txt,15,120,120×15,21600.0000,21.6000,10,185.5400,189.7590,3.2311,21.6003,10,0,
