Instance,m,n,LB_CG,ValidRuns,AvgRuntime_sec,Final_AvgOFV_18mn,Time_2mn_ms,AvgOFV_2mn,MinOFV_2mn,AvgIter_2mn,g_CG_2mn_percent,Time_4mn_ms,AvgOFV_4mn,MinOFV_4mn,AvgIter_4mn,g_CG_4mn_percent,Time_6mn_ms,AvgOFV_6mn,MinOFV_6mn,AvgIter_6mn,g_CG_6mn_percent,Time_8mn_ms,AvgOFV_8mn,MinOFV_8mn,AvgIter_8mn,g_CG_8mn_percent,Time_10mn_ms,AvgOFV_10mn,MinOFV_10mn,AvgIter_10mn,g_CG_10mn_percent,Time_12mn_ms,AvgOFV_12mn,MinOFV_12mn,AvgIter_12mn,g_CG_12mn_percent,Time_14mn_ms,AvgOFV_14mn,MinOFV_14mn,AvgIter_14mn,g_CG_14mn_percent,Time_16mn_ms,AvgOFV_16mn,MinOFV_16mn,AvgIter_16mn,g_CG_16mn_percent,Time_18mn_ms,AvgOFV_18mn,MinOFV_18mn,AvgIter_18mn,g_CG_18mn_percent
Inst_m20_n320_pi2.0_TF0.4_R0.4_4.txt,20,320,2810.240000,10,115.273972,3067.120000,12800.000000,3101.813000,3066.060000,70.000000,9.400083,25600.000000,3073.791000,3061.110000,137.800000,8.574135,38400.000000,3069.247000,3061.110000,206.500000,8.438780,51200.000000,3067.831000,3056.700000,273.700000,8.396519,64000.000000,3067.120000,3056.700000,339.800000,8.375284,76800.000000,3067.120000,3056.700000,406.100000,8.375284,89600.000000,3067.120000,3056.700000,474.600000,8.375284,102400.000000,3067.120000,3056.700000,543.800000,8.375284,115200.000000,3067.120000,3056.700000,609.200000,8.375284
Inst_m20_n320_pi2.0_TF0.4_R0.4_5.txt,20,320,2423.380000,10,115.288925,2598.894000,12800.000000,2630.824000,2596.150000,84.300000,7.885134,25600.000000,2603.405000,2596.150000,162.000000,6.914982,38400.000000,2601.281000,2596.150000,243.900000,6.838977,51200.000000,2600.451000,2596.150000,323.400000,6.809242,64000.000000,2599.987000,2596.150000,401.600000,6.792611,76800.000000,2599.465000,2596.150000,477.100000,6.773894,89600.000000,2599.186000,2596.150000,556.500000,6.763887,102400.000000,2598.894000,2596.150000,638.000000,6.753411,115200.000000,2598.894000,2596.150000,715.100000,6.753411
Inst_m20_n320_pi2.0_TF0.4_R0.4_6.txt,20,320,2132.720000,10,115.316721,2297.273000,12800.000000,2315.122000,2288.220000,67.300000,7.878721,25600.000000,2300.060000,2286.530000,133.600000,7.275462,38400.000000,2299.224000,2286.530000,201.800000,7.241748,51200.000000,2298.561000,2286.530000,268.900000,7.214992,64000.000000,2298.294000,2286.530000,334.500000,7.204213,76800.000000,2298.250000,2286.530000,400.300000,7.202437,89600.000000,2298.111000,2286.530000,466.900000,7.196824,102400.000000,2297.893000,2286.530000,535.700000,7.188020,115200.000000,2297.273000,2286.530000,604.900000,7.162971
Inst_m20_n320_pi2.0_TF0.4_R0.4_7.txt,20,320,3260.970000,10,115.285611,3422.655000,12800.000000,3441.486000,3425.480000,67.300000,5.245292,25600.000000,3431.001000,3418.620000,132.900000,4.955726,38400.000000,3428.705000,3418.620000,197.900000,4.892080,51200.000000,3427.992000,3418.620000,263.400000,4.872298,64000.000000,3427.227000,3418.620000,328.000000,4.851065,76800.000000,3425.446000,3418.300000,391.300000,4.801594,89600.000000,3423.440000,3418.300000,456.400000,4.745811,102400.000000,3422.655000,3417.630000,518.300000,4.723964,115200.000000,3422.655000,3417.630000,579.500000,4.723964
Inst_m20_n320_pi2.0_TF0.4_R0.4_8.txt,20,320,3997.580000,10,115.279490,4247.649000,12800.000000,4349.367000,4282.570000,74.700000,8.088234,25600.000000,4304.296000,4247.050000,145.200000,7.125811,38400.000000,4273.139000,4240.860000,214.800000,6.448632,51200.000000,4259.464000,4240.860000,284.800000,6.148285,64000.000000,4256.371000,4240.860000,352.000000,6.080086,76800.000000,4254.767000,4236.290000,420.200000,6.044679,89600.000000,4252.960000,4236.290000,487.500000,6.004759,102400.000000,4251.075000,4236.290000,556.000000,5.963080,115200.000000,4247.649000,4236.290000,624.600000,5.887233
Inst_m20_n320_pi2.0_TF0.4_R0.4_9.txt,20,320,4030.090000,10,115.278987,4255.100000,12800.000000,4258.919000,4255.100000,92.400000,5.372936,25600.000000,4255.139000,4255.100000,199.400000,5.288875,38400.000000,4255.100000,4255.100000,307.200000,5.288007,51200.000000,4255.100000,4255.100000,414.500000,5.288007,64000.000000,4255.100000,4255.100000,520.900000,5.288007,76800.000000,4255.100000,4255.100000,627.000000,5.288007,89600.000000,4255.100000,4255.100000,731.800000,5.288007,102400.000000,4255.100000,4255.100000,836.500000,5.288007,115200.000000,4255.100000,4255.100000,943.400000,5.288007
Inst_m20_n320_pi2.0_TF0.4_R0.6_1.txt,20,320,3766.590000,10,115.248083,4074.580000,12800.000000,4205.939000,4102.120000,70.900000,10.445919,25600.000000,4109.497000,4078.410000,140.700000,8.344257,38400.000000,4096.510000,4074.090000,211.900000,8.053685,51200.000000,4091.530000,4074.090000,279.300000,7.941772,64000.000000,4084.062000,4062.430000,350.400000,7.773437,76800.000000,4080.630000,4048.670000,420.100000,7.695870,89600.000000,4077.236000,4045.980000,487.200000,7.619034,102400.000000,4075.870000,4045.980000,556.400000,7.588073,115200.000000,4074.580000,4045.980000,625.500000,7.558816
Inst_m20_n320_pi2.0_TF0.4_R0.6_10.txt,20,320,2796.660000,10,115.302070,2983.451000,12800.000000,3044.803000,2987.120000,65.900000,8.149723,25600.000000,3010.738000,2986.840000,130.700000,7.110483,38400.000000,2991.750000,2982.820000,192.200000,6.520933,51200.000000,2988.552000,2979.950000,255.800000,6.420902,64000.000000,2986.027000,2979.360000,318.000000,6.341771,76800.000000,2984.501000,2978.460000,378.200000,6.293883,89600.000000,2984.501000,2978.460000,440.300000,6.293883,102400.000000,2983.810000,2978.460000,502.800000,6.272182,115200.000000,2983.451000,2978.460000,563.700000,6.260904
Inst_m20_n320_pi2.0_TF0.4_R0.6_2.txt,20,320,2565.760000,10,115.285310,2795.302000,12800.000000,2853.604000,2801.280000,68.800000,10.087034,25600.000000,2824.369000,2788.610000,136.200000,9.156346,38400.000000,2803.500000,2788.450000,202.800000,8.480114,51200.000000,2798.954000,2788.450000,268.100000,8.331470,64000.000000,2797.780000,2788.450000,333.400000,8.293004,76800.000000,2796.828000,2788.450000,397.200000,8.261788,89600.000000,2796.828000,2788.450000,459.900000,8.261788,102400.000000,2796.170000,2787.980000,524.200000,8.240200,115200.000000,2795.302000,2787.980000,588.800000,8.211707
Inst_m20_n320_pi2.0_TF0.4_R0.6_3.txt,20,320,2855.730000,10,115.264137,3040.788000,12800.000000,3094.715000,3049.010000,72.100000,7.722359,25600.000000,3054.587000,3038.670000,143.300000,6.510111,38400.000000,3043.821000,3038.380000,219.400000,6.179437,51200.000000,3042.501000,3038.380000,294.200000,6.138733,64000.000000,3042.199000,3038.380000,369.100000,6.129415,76800.000000,3041.321000,3038.380000,444.300000,6.102315,89600.000000,3041.279000,3038.380000,515.600000,6.101019,102400.000000,3041.279000,3038.380000,587.000000,6.101019,115200.000000,3040.788000,3038.380000,659.900000,6.085857
