Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_DG-ALNS,AvgResult_DG-ALNS,StdResult_DG-ALNS,AvgTime_DG-ALNS,SuccessRuns_DG-ALNS,FailedRuns_DG-ALNS,FirstError_DG-ALNS
Inst_m2_n10_pi0.5_TF0.6_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,190.9100,190.9100,0.0000,0.2404,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,737.7300,737.7300,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,829.2600,829.2600,0.0000,0.2404,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,1590.9000,1590.9000,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,759.4900,759.4900,0.0000,0.2402,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,1215.7700,1215.7700,0.0000,0.2406,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,341.6400,341.6400,0.0000,0.2402,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,753.8000,753.8000,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,373.6300,373.6300,0.0000,0.2404,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,1014.9500,1014.9500,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,1264.8400,1264.8400,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,628.8600,628.8600,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,360.2400,360.2400,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,346.4300,346.4300,0.0000,0.2403,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,216.5700,216.5700,0.0000,0.2405,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,1033.7100,1033.7100,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,385.5400,385.5400,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,294.3500,294.3500,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,412.7800,412.7800,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,532.1900,532.1900,0.0000,0.2403,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,236.4600,236.4600,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,1018.3200,1018.3200,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,941.2300,941.2300,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,524.5800,524.5800,0.0000,0.2402,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,525.1400,525.1400,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,570.5900,570.5900,0.0000,0.2403,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,522.4700,522.4700,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,475.3200,475.3200,0.0000,0.2404,10,0,
