Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_GA,AvgResult_GA,StdResult_GA,AvgTime_GA,SuccessRuns_GA,FailedRuns_GA,FirstError_GA
Inst_m2_n10_pi0.5_TF0.6_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,753.8000,753.8000,0.0000,0.2417,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,373.6300,393.4180,41.7199,0.2419,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,1014.9500,1014.9500,0.0000,0.2420,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,1264.8400,1285.4600,31.8042,0.2422,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,628.8600,628.8600,0.0000,0.2421,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,360.2400,360.2400,0.0000,0.2422,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,346.4300,349.4130,9.4331,0.2424,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,216.5700,216.5700,0.0000,0.2425,10,0,
Inst_m2_n10_pi0.5_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,1033.7100,1033.7100,0.0000,0.2423,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,385.5400,392.0120,7.6439,0.2415,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,294.3500,294.3500,0.0000,0.2427,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,412.7800,412.7800,0.0000,0.2414,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,532.1900,536.0720,9.6784,0.2415,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,236.4600,236.4600,0.0000,0.2419,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,1018.3200,1018.3200,0.0000,0.2419,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,941.2300,960.4400,40.4982,0.2422,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,524.5800,530.0060,8.9041,0.2420,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,525.1400,537.0490,37.6596,0.2422,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,570.5900,570.5900,0.0000,0.2418,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,522.4700,522.4700,0.0000,0.2420,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,475.3200,476.6610,4.2406,0.2421,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,328.3600,330.0110,5.2209,0.2419,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,840.9500,852.4500,21.6192,0.2430,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,371.0900,372.0530,3.0453,0.2437,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,418.5100,418.5100,0.0000,0.2418,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,333.0700,333.0700,0.0000,0.2425,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,433.7700,433.7700,0.0000,0.2425,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,988.1700,988.1700,0.0000,0.2417,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,550.6600,550.6600,0.0000,0.2415,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,1062.6800,1077.9870,25.7242,0.2422,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,587.4100,588.9150,3.6462,0.2420,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,988.1500,995.3900,7.6316,0.2421,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,499.6900,507.1330,23.5368,0.2419,10,0,
