Instance,m,n,pi,TF,R,ID,Model,TimeLimit,CPUTime,RunTime,Status,OFV,BestBound,GapPercent
Inst_m2_n10_pi0.5_TF0.6_R0.4_10.txt,2,10,0,0,0,0,LO,1800,798663.05,42.26,2,506.35,506.35,0
Inst_m2_n10_pi0.5_TF0.6_R0.4_2.txt,2,10,0,0,0,0,LO,1800,798650.58,13.26,2,228.27,228.27,0
Inst_m2_n10_pi0.5_TF0.6_R0.4_3.txt,2,10,0,0,0,0,LO,1800,798669.5,18.06,2,325.53,325.53,0
Inst_m2_n10_pi0.5_TF0.6_R0.4_4.txt,2,10,0,0,0,0,LO,1800,798685.09,32.04,2,190.91,190.91,0
Inst_m2_n10_pi0.5_TF0.6_R0.4_5.txt,2,10,0,0,0,0,LO,1800,798795.39,134.71,2,737.73,737.73,0
Inst_m2_n10_pi0.5_TF0.6_R0.4_6.txt,2,10,0,0,0,0,LO,1800,799310.28,645.52,2,829.26,829.22,0.0048
Inst_m2_n10_pi0.5_TF0.6_R0.4_7.txt,2,10,0,0,0,0,LO,1800,800439.56,1769.91,2,1590.9,1590.9,0
Inst_m2_n10_pi0.5_TF0.6_R0.4_8.txt,2,10,0,0,0,0,LO,1800,798960.83,290.94,2,759.49,759.49,0
Inst_m2_n10_pi0.5_TF0.6_R0.4_9.txt,2,10,0,0,0,0,LO,1800,799668.3,993.94,2,1215.77,1215.7462,0.002
Inst_m2_n10_pi0.5_TF0.6_R0.6_1.txt,2,10,0,0,0,0,LO,1800,798726.42,39.53,2,341.64,341.64,0
Inst_m2_n10_pi0.5_TF0.6_R0.6_10.txt,2,10,0,0,0,0,LO,1800,798743.69,55.63,2,753.8,753.8,0
Inst_m2_n10_pi0.5_TF0.6_R0.6_2.txt,2,10,0,0,0,0,LO,1800,798843.22,116.39,2,373.63,373.63,0
Inst_m2_n10_pi0.5_TF0.6_R0.6_3.txt,2,10,0,0,0,0,LO,1800,798993.7,265.89,2,1014.95,1014.9082,0.0041
Inst_m2_n10_pi0.5_TF0.6_R0.6_4.txt,2,10,0,0,0,0,LO,1800,798810.66,79.88,2,1264.84,1264.84,0
Inst_m2_n10_pi0.5_TF0.6_R0.6_5.txt,2,10,0,0,0,0,LO,1800,798861.53,118.24,2,628.86,628.86,0
Inst_m2_n10_pi0.5_TF0.6_R0.6_6.txt,2,10,0,0,0,0,LO,1800,798758.09,13.82,2,360.24,360.23,0.0028
Inst_m2_n10_pi0.5_TF0.6_R0.6_7.txt,2,10,0,0,0,0,LO,1800,798766.52,12.59,2,346.43,346.43,0
Inst_m2_n10_pi0.5_TF0.6_R0.6_8.txt,2,10,0,0,0,0,LO,1800,798763.05,3.49,2,216.57,216.57,0
Inst_m2_n10_pi0.5_TF0.6_R0.6_9.txt,2,10,0,0,0,0,LO,1800,798792.13,28.21,2,1033.71,1033.6103,0.0096
Inst_m2_n10_pi1.0_TF0.4_R0.4_1.txt,2,10,1,0,0,0,LO,1800,799047.31,280.25,2,385.54,385.54,0
Inst_m2_n10_pi1.0_TF0.4_R0.4_10.txt,2,10,1,0,0,0,LO,1800,798784.63,12.3,2,294.35,294.35,0
Inst_m2_n10_pi1.0_TF0.4_R0.4_2.txt,2,10,1,0,0,0,LO,1800,798857.22,82.39,2,412.78,412.78,0
Inst_m2_n10_pi1.0_TF0.4_R0.4_3.txt,2,10,1,0,0,0,LO,1800,798897.98,118.22,2,532.19,532.19,0
Inst_m2_n10_pi1.0_TF0.4_R0.4_4.txt,2,10,1,0,0,0,LO,1800,798789.22,8.63,2,236.46,236.46,0
Inst_m2_n10_pi1.0_TF0.4_R0.4_5.txt,2,10,1,0,0,0,LO,1800,799810.31,1024.74,2,1018.32,1018.3,0.002
Inst_m2_n10_pi1.0_TF0.4_R0.4_6.txt,2,10,1,0,0,0,LO,1800,799528.75,739.09,2,941.23,941.23,0
Inst_m2_n10_pi1.0_TF0.4_R0.4_7.txt,2,10,1,0,0,0,LO,1800,798978.97,186.1,2,524.58,524.58,0
Inst_m2_n10_pi1.0_TF0.4_R0.4_8.txt,2,10,1,0,0,0,LO,1800,798826.7,30.25,2,525.14,525.14,0
Inst_m2_n10_pi1.0_TF0.4_R0.4_9.txt,2,10,1,0,0,0,LO,1800,798836.28,32.52,2,570.59,570.59,0
Inst_m2_n10_pi1.0_TF0.4_R0.6_1.txt,2,10,1,0,0,0,LO,1800,798817.25,5.07,2,522.47,522.47,0
Inst_m2_n10_pi1.0_TF0.4_R0.6_10.txt,2,10,1,0,0,0,LO,1800,798913.94,96.09,2,475.32,475.32,0
Inst_m2_n10_pi1.0_TF0.4_R0.6_2.txt,2,10,1,0,0,0,LO,1800,798832.06,4.46,2,328.36,328.36,0
Inst_m2_n10_pi1.0_TF0.4_R0.6_3.txt,2,10,1,0,0,0,LO,1800,799233.73,405.08,2,840.95,840.95,0
Inst_m2_n10_pi1.0_TF0.4_R0.6_4.txt,2,10,1,0,0,0,LO,1800,798951.61,118.52,2,371.09,371.09,0
Inst_m2_n10_pi1.0_TF0.4_R0.6_5.txt,2,10,1,0,0,0,LO,1800,798841.5,4.63,2,418.51,418.51,0
Inst_m2_n10_pi1.0_TF0.4_R0.6_6.txt,2,10,1,0,0,0,LO,1800,798999.63,158.07,2,333.07,333.06,0.003
Inst_m2_n10_pi1.0_TF0.4_R0.6_7.txt,2,10,1,0,0,0,LO,1800,798890.33,47.1,2,433.77,433.77,0
Inst_m2_n10_pi1.0_TF0.4_R0.6_8.txt,2,10,1,0,0,0,LO,1800,798880.53,37.08,2,988.17,988.17,0
Inst_m2_n10_pi1.0_TF0.4_R0.6_9.txt,2,10,1,0,0,0,LO,1800,799413.03,555.22,2,550.66,550.62,0.0073
Inst_m2_n10_pi1.0_TF0.6_R0.4_1.txt,2,10,1,0,0,0,LO,1800,800661.86,1800.06,1,1062.68,735.45,44.4938
Inst_m2_n10_pi1.0_TF0.6_R0.4_10.txt,2,10,1,0,0,0,LO,1800,798963.64,82.83,2,587.41,587.41,0
Inst_m2_n10_pi1.0_TF0.6_R0.4_2.txt,2,10,1,0,0,0,LO,1800,798923.84,33.26,2,988.15,988.15,0
Inst_m2_n10_pi1.0_TF0.6_R0.4_3.txt,2,10,1,0,0,0,LO,1800,798916.05,17.55,2,499.69,499.69,0
Inst_m2_n10_pi1.0_TF0.6_R0.4_4.txt,2,10,1,0,0,0,LO,1800,799093.59,179.34,2,1400.65,1400.5156,0.0096
Inst_m2_n10_pi1.0_TF0.6_R0.4_5.txt,2,10,1,0,0,0,LO,1800,798952.38,35.93,2,1144.5,1144.5,0
Inst_m2_n10_pi1.0_TF0.6_R0.4_6.txt,2,10,1,0,0,0,LO,1800,798945.97,21.69,2,194.43,194.43,0
Inst_m2_n10_pi1.0_TF0.6_R0.4_7.txt,2,10,1,0,0,0,LO,1800,800746.31,1800.04,1,1898.06,898.0316,111.3578
Inst_m2_n10_pi1.0_TF0.6_R0.4_8.txt,2,10,1,0,0,0,LO,1800,799260.23,308.06,2,1148.88,1148.88,0
Inst_m2_n10_pi1.0_TF0.6_R0.4_9.txt,2,10,1,0,0,0,LO,1800,799082.09,129.31,2,1636.48,1636.48,0
Inst_m2_n10_pi1.0_TF0.6_R0.6_1.txt,2,10,1,0,0,0,LO,1800,799019.56,58.45,2,1083.98,1083.98,0
Inst_m2_n10_pi1.0_TF0.6_R0.6_10.txt,2,10,1,0,0,0,LO,1800,799015.33,51.48,2,1432.68,1432.68,0
Inst_m2_n10_pi1.0_TF0.6_R0.6_2.txt,2,10,1,0,0,0,LO,1800,799534.52,555.52,2,1516.87,1516.87,0
Inst_m2_n10_pi1.0_TF0.6_R0.6_3.txt,2,10,1,0,0,0,LO,1800,799052.44,72.05,2,1198.65,1198.65,0
Inst_m2_n10_pi1.0_TF0.6_R0.6_4.txt,2,10,1,0,0,0,LO,1800,799027.84,46.86,2,502.62,502.62,0
Inst_m2_n10_pi1.0_TF0.6_R0.6_5.txt,2,10,1,0,0,0,LO,1800,799606.67,612.64,2,752.69,752.69,0
Inst_m2_n10_pi1.0_TF0.6_R0.6_6.txt,2,10,1,0,0,0,LO,1800,799227.92,227.78,2,1464.46,1464.43,0.002
Inst_m2_n10_pi1.0_TF0.6_R0.6_7.txt,2,10,1,0,0,0,LO,1800,799189.19,173.45,2,695.96,695.96,0
Inst_m2_n10_pi1.0_TF0.6_R0.6_8.txt,2,10,1,0,0,0,LO,1800,800795.78,1776.12,2,2029.65,2029.5337,0.0057
Inst_m2_n10_pi1.0_TF0.6_R0.6_9.txt,2,10,1,0,0,0,LO,1800,799185.11,157.18,2,1071.88,1071.8285,0.0048
Inst_m2_n10_pi2.0_TF0.4_R0.4_1.txt,2,10,2,0.4,0.4,1,LO,1800,7097583.91,34.36,2,952.28,952.28,0
Inst_m2_n10_pi2.0_TF0.4_R0.4_10.txt,2,10,2,0.4,0.4,10,LO,1800,7097550.42,0.88,2,238.57,238.57,0
Inst_m2_n10_pi2.0_TF0.4_R0.4_2.txt,2,10,2,0.4,0.4,2,LO,1800,7099349.59,1800.04,1,1603.22,706.7389,126.8476
Inst_m2_n10_pi2.0_TF0.4_R0.4_3.txt,2,10,2,0.4,0.4,3,LO,1800,7097622.2,72.66,2,1236.84,1236.84,0
Inst_m2_n10_pi2.0_TF0.4_R0.4_4.txt,2,10,2,0.4,0.4,4,LO,1800,7097758.01,208.47,2,2597.16,2597.16,0
Inst_m2_n10_pi2.0_TF0.4_R0.4_5.txt,2,10,2,0.4,0.4,5,LO,1800,7097551.8,2.25,2,1580.03,1580.03,0
Inst_m2_n10_pi2.0_TF0.4_R0.4_6.txt,2,10,2,0.4,0.4,6,LO,1800,7097551.58,2.03,2,1166.39,1166.39,0
Inst_m2_n10_pi2.0_TF0.4_R0.4_7.txt,2,10,2,0.4,0.4,7,LO,1800,7097578.73,29.19,2,1220.06,1220.06,0
Inst_m2_n10_pi2.0_TF0.4_R0.4_8.txt,2,10,2,0.4,0.4,8,LO,1800,7097556.42,6.88,2,834.65,834.65,0
Inst_m2_n10_pi2.0_TF0.4_R0.4_9.txt,2,10,2,0.4,0.4,9,LO,1800,7097574.98,25.44,2,1378.23,1378.23,0
Inst_m2_n10_pi2.0_TF0.4_R0.6_1.txt,2,10,2,0.4,0.6,1,LO,1800,7097553.58,4.04,2,328.88,328.88,0
Inst_m2_n10_pi2.0_TF0.4_R0.6_10.txt,2,10,2,0.4,0.6,10,LO,1800,7097553.22,3.67,2,1859.97,1859.97,0
Inst_m2_n10_pi2.0_TF0.4_R0.6_2.txt,2,10,2,0.4,0.6,2,LO,1800,7097576.7,27.16,2,649.81,649.81,0
Inst_m2_n10_pi2.0_TF0.4_R0.6_3.txt,2,10,2,0.4,0.6,3,LO,1800,7097553.86,4.31,2,594.47,594.47,0
Inst_m2_n10_pi2.0_TF0.4_R0.6_4.txt,2,10,2,0.4,0.6,4,LO,1800,7097571.64,22.1,2,2053.85,2053.85,0
Inst_m2_n10_pi2.0_TF0.4_R0.6_5.txt,2,10,2,0.4,0.6,5,LO,1800,7097551.09,1.54,2,809.15,809.15,0
Inst_m2_n10_pi2.0_TF0.4_R0.6_6.txt,2,10,2,0.4,0.6,6,LO,1800,7097553.55,4.01,2,859.31,859.2613,0.0057
Inst_m2_n10_pi2.0_TF0.4_R0.6_7.txt,2,10,2,0.4,0.6,7,LO,1800,7097551.72,2.18,2,956.25,956.25,0
Inst_m2_n10_pi2.0_TF0.4_R0.6_8.txt,2,10,2,0.4,0.6,8,LO,1800,7097646.95,97.42,2,1794.72,1794.6871,0.0018
Inst_m2_n10_pi2.0_TF0.4_R0.6_9.txt,2,10,2,0.4,0.6,9,LO,1800,7097582.26,32.72,2,1326.67,1326.67,0
Inst_m2_n10_pi2.0_TF0.6_R0.4_1.txt,2,10,2,0.6,0.4,1,LO,1800,7097782.3,232.76,2,1842.8,1842.7473,0.0029
Inst_m2_n10_pi2.0_TF0.6_R0.4_10.txt,2,10,2,0.6,0.4,10,LO,1800,7097554.94,5.38,2,607.79,607.79,0
Inst_m2_n10_pi2.0_TF0.6_R0.4_2.txt,2,10,2,0.6,0.4,2,LO,1800,7099349.58,1800.04,1,2752.89,1883.1938,46.182
Inst_m2_n10_pi2.0_TF0.6_R0.4_3.txt,2,10,2,0.6,0.4,3,LO,1800,7097895.05,345.5,2,2189.49,2189.3318,0.0072
Inst_m2_n10_pi2.0_TF0.6_R0.4_4.txt,2,10,2,0.6,0.4,4,LO,1800,7097604.94,54.5,2,973.42,973.42,0
Inst_m2_n10_pi2.0_TF0.6_R0.4_5.txt,2,10,2,0.6,0.4,5,LO,1800,7097555.39,4.29,2,2043.19,2043.19,0
Inst_m2_n10_pi2.0_TF0.6_R0.4_6.txt,2,10,2,0.6,0.4,6,LO,1800,7097634.06,82.45,2,1140.21,1140.21,0
Inst_m2_n10_pi2.0_TF0.6_R0.4_7.txt,2,10,2,0.6,0.4,7,LO,1800,7097629.14,77.41,2,1882.92,1882.92,0
Inst_m2_n10_pi2.0_TF0.6_R0.4_8.txt,2,10,2,0.6,0.4,8,LO,1800,7097657.84,106.03,2,2654.54,2654.54,0
Inst_m2_n10_pi2.0_TF0.6_R0.4_9.txt,2,10,2,0.6,0.4,9,LO,1800,7097557.8,4.58,2,1484.66,1484.66,0
